#,Event,Date,Venue,Location,Attendance
35,Glory 28: Paris,"March 12, 2016",AccorHotels Arena,"Paris, France","2,750"
34,Glory 27: Chicago,"February 26, 2016",Sears Centre,"Hoffman Estates, Illinois, USA","2,000"
33,Glory 26: Amsterdam,"December 4, 2015",Amsterdam RAI,"Amsterdam, Netherlands","8,000"
32,Glory 25: Milan,"November 6, 2015",PalaIper,"Milan, Italy","6,750"
31,Glory 24: Denver,"October 9, 2015",Magness Arena,"Denver, Colorado, USA","3,500"
30,Bellator/Glory: Dynamite 1,"September 19, 2015",SAP Center,"San Jose, California, USA","11,000"
29,Glory 23: Las Vegas,"August 3, 2015",Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA","2,200"
28,Glory 22: Lille,"June 5, 2015",Stade Pierre-Mauroy,"Lille, France","6,500"
27,Glory 21: San Diego,"May 8, 2015",Valley View Casino Center,"San Diego, California, USA","1,500"
26,Glory 20: Dubai,"April 3, 2015",Dubai World Trade Centre,"Dubai, UAE","1,000"
25,Glory 19: Virginia,"February 6, 2015",Hampton Coliseum,"Hampton, Virginia, USA","3,500"
24,Glory 18: Oklahoma,"November 7, 2014",Grand Casino Hotel Resort,"Shawnee, Oklahoma, USA","1,000"
23,Glory 17: Los Angeles,"June 21, 2014",The Forum,"Inglewood, California, USA","4,000"
22,Glory 16: Denver,"May 3, 2014",1stBank Center,"Broomfield, Colorado, USA","2,350"
21,Glory 15: Istanbul,"April 12, 2014",Ülker Sports Arena,"Istanbul, Turkey","11,000"
20,Glory 14: Zagreb,"March 8, 2014",Arena Zagreb,"Zagreb, Croatia","10,000"
19,Glory 13: Tokyo,"December 21, 2013",Ariake Coliseum,"Tokyo, Japan","8,000"
18,Glory 12: New York,"November 23, 2013",The Theater at Madison Square Garden,"New York City, New York, USA","4,500"
17,Glory 11: Chicago,"October 12, 2013",Sears Centre,"Hoffman Estates, Illinois, USA","1,500"
16,Glory 10: Los Angeles,"September 28, 2013",Citizens Business Bank Arena,"Ontario, California, USA","2,200[25]"
15,Glory 9: New York,"June 22, 2013",Hammerstein Ballroom,"New York City, New York, USA","1,950"
14,2013 Road to Glory USA HeavyweightTournament,"June 14, 2013",Hard Rock Hotel and Casino,"Tulsa, Oklahoma, USA",
13,2013 Road to Glory USA 70 kg Tournament,"May 11, 2013",The Rave,"Milwaukee, Wisconsin, USA",
12,Glory 8: Tokyo,"May 3, 2013",Ariake Coliseum,"Tokyo, Japan","3,500"
11,Glory 7: Milan,"April 20, 2013",Mediolanum Forum,"Milan, Italy","10,000"
10,Glory 6: Istanbul,"April 6, 2013",Ülker Arena,"Istanbul, Turkey","12,000"
9,Glory 5: London,"March 23, 2013",ExCeL Arena,"London, England","4,500"
8,Road to Glory USA 77 kg Tournament,"March 22, 2013",Capitale,"New York City, New York, USA",
7,Road to Glory Japan 65 kg Tournament,"March 10, 2013",Differ Ariake Arena,"Tokyo, Japan",
6,Road to Glory USA 85 kg Tournament,"February 9, 2013",Hollywood Park Casino,"Los Angeles, California, USA",
5,Road to Glory USA 95 kg Tournament,"February 2, 2013",Hard Rock Hotel and Casino,"Tulsa, Oklahoma, USA",
4,Dream 18/Glory 4: Tokyo,"December 31, 2012",Saitama Super Arena,"Saitama, Japan","15,000"
3,Glory 3: Rome,"November 3, 2012",PalaLottomatica,"Rome, Italy","6,450"
2,Glory 2: Brussels,"October 6, 2012",Forest National,"Brussels, Belgium","5,250"
1,Glory 1: Stockholm,"May 26, 2012",Ericsson Globe,"Stockholm, Sweden","4,500"
