weight_class,winner,loser,method,round,time,notes,fight_card,event_name,unnamed:_7_level_1
Women's Flyweight,Nicole Chua,Jeet Toshi,Submission (rear naked choke),1,2:07,,Preliminary Card,ONE Fighting Championship: War of the Lions,
Lightweight,Quek Kim Hock,Major Overall,Technical submission (rear naked choke),1,3:18,,Preliminary Card,ONE Fighting Championship: War of the Lions,
Bantamweight,Jiang Long Yun,Yodsanan Sityodtong,Technical submission (rear naked choke),1,3:28,,Preliminary Card,ONE Fighting Championship: War of the Lions,
Lightweight,Danny van Bergen,Richie Whitson,Submission (armbar),1,1:19,,Preliminary Card,ONE Fighting Championship: War of the Lions,
Cruiserweight,Renato Sobral,Tatsuya Mizuno,Submission (armbar),1,0:31,,Main card,ONE Fighting Championship: Destiny of Warriors,
Welterweight,Zorobabel Moreira,Roger Huerta,KO (soccer kick),2,3:53,,Main card,ONE Fighting Championship: Destiny of Warriors,
Bantamweight,Leandro Issa,Masakazu Imanari,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Destiny of Warriors,
Welterweight,Adam Kayoom,Gregor Gracie,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Destiny of Warriors,
Featherweight,Eric Kelly,Bae Young Kwon,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Destiny of Warriors,
Lightweight,Arnaud Lepont,Brian Choi,Submission (rear naked choke),3,1:38,,Preliminary card,ONE Fighting Championship: Destiny of Warriors,
Featherweight,Mitch Chilson,AJ Lias Mansor,Submission (rear naked choke),1,1:39,,Preliminary card,ONE Fighting Championship: Destiny of Warriors,
Welterweight,Marcos Escobar,Rodrigo Praxedes,Submission (D'arce choke),3,1:05,,Preliminary card,ONE Fighting Championship: Destiny of Warriors,
Lightweight,Peter Davis,Kim Hock Quek,TKO (knees and punches),1,0:55,,Preliminary card,ONE Fighting Championship: Destiny of Warriors,
Bantamweight,Bibiano Fernandes,Gustavo Falciroli,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Pride of a Nation,
Lightweight,Eduard Folayang,Felipe Enomoto,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Pride of a Nation,
Heavyweight,Andrei Arlovski,Tim Sylvia,No Contest (illegal soccer kick),2,4:46,,Main card,ONE Fighting Championship: Pride of a Nation,
Featherweight,Eric Kelly,Jens Pulver,TKO (body kick and punches),2,1:46,,Main card,ONE Fighting Championship: Pride of a Nation,
Heavyweight,Rolles Gracie,Tony Bonello,Submission (rear naked choke),3,1:33,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Welterweight,Jung Hwan Cha,Igor Gracie,TKO (punches and elbows),3,1:03,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Bantamweight,Soo Chul Kim,Kevin Belingon,Decision (unanimous),3,5:00,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Catchweight,Gregor Gracie,Nicholas Mann,Submission (armbar),1,3:28,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Welterweight,Phil Baroni,Rodrigo Ribeiro,TKO (soccer kicks and punches),1,1:00,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Featherweight,Mitch Chilson,Shannon Wiratchai,No Contest (illegal punch and kick),2,2:03,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Featherweight,Honorio Banario,Andrew Benibe,TKO (body kicks and punches),3,3:47,,Preliminary Card,ONE Fighting Championship: Pride of a Nation,
Lightweight,Shinya Aoki,Arnaud Lepont,Technical submission (triangle choke),1,1:25,[a],Main card,ONE Fighting Championship: Rise of Kings,
Lightweight,Kotetsu Boku,Zorobabel Moreira,TKO (punches),3,1:02,[b],Main card,ONE Fighting Championship: Rise of Kings,
Bantamweight,Soo Chul Kim,Leandro Issa,TKO (strikes),2,0:15,[c],Main card,ONE Fighting Championship: Rise of Kings,
Middleweight,Melvin Manhoef,Ryo Kawamura,KO (punch),1,4:40,,Main card,ONE Fighting Championship: Rise of Kings,
Bantamweight,Jens Pulver,Zhao Ya Fei,Technical decision (unanimous),3,5:00,,Bantamweight Grand Prix Quarterfinals,ONE Fighting Championship: Rise of Kings,
Bantamweight,Masakatsu Ueda,Min Jung Song,Decision (unanimous),3,5:00,,Bantamweight Grand Prix Quarterfinals,ONE Fighting Championship: Rise of Kings,
Bantamweight,Kevin Belingon,Yusup Saadulaev,TKO (strikes),1,3:18,,Bantamweight Grand Prix Quarterfinals,ONE Fighting Championship: Rise of Kings,
Flyweight,Gianni Subba,Bruce Loh,KO (soccer kick),1,0:33,,Preliminary Card,ONE Fighting Championship: Rise of Kings,
Featherweight,Mitch Chilson,Ngabdi Mulyadi,TKO (strikes),2,1:05,,Preliminary Card,ONE Fighting Championship: Rise of Kings,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 1,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 1,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 1,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 1,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 1,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 1,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 1,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 1,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 1,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 1,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 1,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 1,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 2,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 2,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 2,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 2,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 2,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 2,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 2,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 2,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 2,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 2,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 2,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 2,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 3,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 3,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 3,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 3,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 3,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 3,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 3,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 3,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 3,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 3,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 3,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 3,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 4,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 4,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 4,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 4,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 4,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 4,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 4,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 4,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 4,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 4,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 4,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 4,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 5,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 5,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 5,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 5,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 5,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 5,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 5,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 5,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 5,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 5,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 5,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 5,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 6,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 6,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 6,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 6,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 6,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 6,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 6,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 6,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 6,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 6,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 6,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 6,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 7,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 7,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 7,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 7,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 7,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 7,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 7,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 7,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 7,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 7,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 7,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 7,
Flyweight Muay Thai,Phetsukumvit Boybangna,Petchmuangsri Tded99,KO (punches),2,2:36,,Main card,ONE Friday Fights 8,
Catchweight (128 lbs) Muay Thai,Petlampun Muadablampang,Rambong Sor.Terapat,KO (punch),3,1:14,,Main card,ONE Friday Fights 8,
Catchweight (116 lbs) Muay Thai,NumSurin Chor.Ketweena,Khunsuknoi Boomdeksian,KO (punches),1,2:38,,Main card,ONE Friday Fights 8,
Catchweight (113 lbs) Muay Thai,Banluerit Sitwatcharachai,Nuatoranee Jitmuangnon,KO (punches),1,2:38,,Main card,ONE Friday Fights 8,
W.Atomweight Muay Thai,Junior Fairtex,Pancake Kiattongyot,Decision (split),3,3:00,,Main card,ONE Friday Fights 8,
Catchweight (116 lbs) Muay Thai,Maisangkam Sor Yingcharoenkarnchang,Jomhot Charoenmuang,KO (left hook),3,0:42,,Main card,ONE Friday Fights 8,
Bantamweight Muay Thai,Mavlud Tupiev,Alaverdi Ramazanov,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 8,
Lightweight,Vladimir Kanunnikov,Jason Ponet,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 8,
Catchweight (128 lb) Kickboxing,Huo Xiaolong,Seyed Mahdi Zadeh,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 8,
Catchweight (118 lb) Muay Thai,Jomhod AutoMuayThai,Daniel Gyllenberg,TKO (punches and elbows),2,1:05,,Main card,ONE Friday Fights 8,
Welterweight,Salamat Orozakulov,Furqan Cheema,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 8,
Flyweight Muay Thai,Mohammad Sadeghi,Elias Ghazali,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 8,
Catchweight (138 lbs) Muay Thai,Superball Tded99,Kongklai AnnyMuayThai,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 9,
Catchweight (130 lbs) Muay Thai,ET Tded99,Apiwat Sor.Somnuk,KO (flying knee),1,0:37,,Main card,ONE Friday Fights 9,
Bantamweight Muay Thai,Komawut F.A.Group,Avatar P.K.Saenchai,Decision (split),3,3:00,,Main card,ONE Friday Fights 9,
Strawweight Muay Thai,Pongsiri Sor.Jor.Wichitpadriew,Pettong Kiatsongrit,KO (left hook),1,1:57,,Main card,ONE Friday Fights 9,
Catchweight (120 lbs) Muay Thai,Olaylek Chor.Hapayak,Phetsommai Sor.Sommai,Decision (split),3,3:00,,Main card,ONE Friday Fights 9,
Catchweight (132 lbs) Muay Thai,Namphongnoi Sor.Sommai,Songfangkhong F.A.Group,Decision (majority),3,3:00,,Main card,ONE Friday Fights 9,
Bantamweight Muay Thai,Tyson Harrison,Rambo Mor.Rattanabandit,KO (right straight),3,3:00,,Main card,ONE Friday Fights 9,
Flyweight Muay Thai,Yodkaikaew Fairtex,Angelos Giakoumis,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 9,
W.Atomweight Muay Thai,Yu Yau Pui,Devina Martin,TKO (left hook),3,0:24,,Main card,ONE Friday Fights 9,
Bantamweight,Tatsuya Ando,Ali Motamed,TKO (punches),2,1:38,,Main card,ONE Friday Fights 9,
Lightweight,Ali Kabdulla,Alisson Barbosa,TKO (elbows),3,2:22,,Main card,ONE Friday Fights 9,
W.Strawweight,Anelya Toktogonova,Aleksandra Savicheva,submission (neck crank),1,2:13,,Main card,ONE Friday Fights 9,
Catchweight (138 lbs) Muay Thai,Superball Tded99,Kongklai AnnyMuayThai,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 10,
Catchweight (130 lbs) Muay Thai,ET Tded99,Apiwat Sor.Somnuk,KO (flying knee),1,0:37,,Main card,ONE Friday Fights 10,
Bantamweight Muay Thai,Komawut F.A.Group,Avatar P.K.Saenchai,Decision (split),3,3:00,,Main card,ONE Friday Fights 10,
Strawweight Muay Thai,Pongsiri Sor.Jor.Wichitpadriew,Pettong Kiatsongrit,KO (left hook),1,1:57,,Main card,ONE Friday Fights 10,
Catchweight (120 lbs) Muay Thai,Olaylek Chor.Hapayak,Phetsommai Sor.Sommai,Decision (split),3,3:00,,Main card,ONE Friday Fights 10,
Catchweight (132 lbs) Muay Thai,Namphongnoi Sor.Sommai,Songfangkhong F.A.Group,Decision (majority),3,3:00,,Main card,ONE Friday Fights 10,
Bantamweight Muay Thai,Tyson Harrison,Rambo Mor.Rattanabandit,KO (right straight),3,3:00,,Main card,ONE Friday Fights 10,
Flyweight Muay Thai,Yodkaikaew Fairtex,Angelos Giakoumis,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 10,
W.Atomweight Muay Thai,Yu Yau Pui,Devina Martin,TKO (left hook),3,0:24,,Main card,ONE Friday Fights 10,
Bantamweight,Tatsuya Ando,Ali Motamed,TKO (punches),2,1:38,,Main card,ONE Friday Fights 10,
Lightweight,Ali Kabdulla,Alisson Barbosa,TKO (elbows),3,2:22,,Main card,ONE Friday Fights 10,
W.Strawweight,Anelya Toktogonova,Aleksandra Savicheva,submission (neck crank),1,2:13,,Main card,ONE Friday Fights 10,
Catchweight (138 lbs) Muay Thai,Superball Tded99,Kongklai AnnyMuayThai,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 11,
Catchweight (130 lbs) Muay Thai,ET Tded99,Apiwat Sor.Somnuk,KO (flying knee),1,0:37,,Main card,ONE Friday Fights 11,
Bantamweight Muay Thai,Komawut F.A.Group,Avatar P.K.Saenchai,Decision (split),3,3:00,,Main card,ONE Friday Fights 11,
Strawweight Muay Thai,Pongsiri Sor.Jor.Wichitpadriew,Pettong Kiatsongrit,KO (left hook),1,1:57,,Main card,ONE Friday Fights 11,
Catchweight (120 lbs) Muay Thai,Olaylek Chor.Hapayak,Phetsommai Sor.Sommai,Decision (split),3,3:00,,Main card,ONE Friday Fights 11,
Catchweight (132 lbs) Muay Thai,Namphongnoi Sor.Sommai,Songfangkhong F.A.Group,Decision (majority),3,3:00,,Main card,ONE Friday Fights 11,
Bantamweight Muay Thai,Tyson Harrison,Rambo Mor.Rattanabandit,KO (right straight),3,3:00,,Main card,ONE Friday Fights 11,
Flyweight Muay Thai,Yodkaikaew Fairtex,Angelos Giakoumis,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 11,
W.Atomweight Muay Thai,Yu Yau Pui,Devina Martin,TKO (left hook),3,0:24,,Main card,ONE Friday Fights 11,
Bantamweight,Tatsuya Ando,Ali Motamed,TKO (punches),2,1:38,,Main card,ONE Friday Fights 11,
Lightweight,Ali Kabdulla,Alisson Barbosa,TKO (elbows),3,2:22,,Main card,ONE Friday Fights 11,
W.Strawweight,Anelya Toktogonova,Aleksandra Savicheva,submission (neck crank),1,2:13,,Main card,ONE Friday Fights 11,
Flyweight Muay Thai,Phetsukumvit Boybangna,Kongthoranee Sor.Sommai,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 12,
Catchweight (130 lbs) Muay Thai,Petlampun Muadablampang,Sunvo Tded99,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 12,
Flyweight Muay Thai,Dentungtong Singha Mawynn,Mohawk Ngorbangkapi,KO (punches),2,1:56,,Main card,ONE Friday Fights 12,
Atomweight Muay Thai,Khunsuk Sor.Dechapan,Kohtao Petsomnuk,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 12,
Catchweight (112 lbs) Muay Thai,Tubtimthong Sor.Jor.Lekmuangnon,Petchnumchai Sor.Jor.Tongprachin,KO (punches),1,1:50,,Main card,ONE Friday Fights 12,
Catchweight (124 lbs) Muay Thai,Zeta Chor.Chokamnuay,Chalawan Ngorbangkapi,KO (punch and head kick),1,1:55,,Main card,ONE Friday Fights 12,
Bantamweight Muay Thai,Rafi Bohic,Tapaokaew Singha Mawynn,Decision (split),3,3:00,,Main card,ONE Friday Fights 12,
Bantamweight Muay Thai,Yodphupa Wimanair,Samuel Toscano,TKO (doctor stoppage),1,2:20,,Main card,ONE Friday Fights 12,
Flyweight Muay Thai,Samingdam Looksuan,Javad Bigdeli,TKO (flying knee),3,1:33,,Main card,ONE Friday Fights 12,
Catchweight (110 lbs) Muay Thai,Nongam Fairtex,Chu Nga Sze,KO (punch),3,0:23,,Main card,ONE Friday Fights 12,
Featherweight,Nurzaman Eshbaev,Keanu Subba,Decision (unanimous),3,5:00,,Main card,ONE Friday Fights 12,
Featherweight,Do Gyeom Lee,Guilherme Antunes,TKO (punches),2,3:23,,Main card,ONE Friday Fights 12,
Flyweight Muay Thai,Paidang Kiatsongrit,Batman Or.Atchariya,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 13,
Catchweight (126 lbs) Muay Thai,Noelison Silva,Surachai Sor Sommai,Decision (unanimous),3,3:00,,Main card,ONE Friday Fights 13,
